Entry	Gene names  (primary )	Entry name	Gene ontology IDs	Organism	Gene names
P15030	fecC	FECC_ECOLI	GO:0016021; GO:0006811; GO:0055072; GO:0005886; GO:0005215	Escherichia coli (strain K12)	fecC b4289 JW4249
P15031	fecE	FECE_ECOLI	GO:0005524; GO:0016887; GO:0006811; GO:0055072; GO:0005886	Escherichia coli (strain K12)	fecE b4287 JW4247
P23485	fecR	FECR_ECOLI	GO:0006811; GO:0055072; GO:0042597; GO:0050896	Escherichia coli (strain K12)	fecR b4292 JW4252
Q47129	feaR	FEAR_ECOLI	GO:0000987; GO:0005829; GO:0045893; GO:0003700; GO:0006351	Escherichia coli (strain K12)	feaR maoB maoR ydbM b1384 JW1379
P15028	fecB	FECB_ECOLI	GO:0006811; GO:0055072; GO:0042597	Escherichia coli (strain K12)	fecB b4290 JW4250
P23484	fecI	FECI_ECOLI	GO:0003677; GO:0006352; GO:0006811; GO:0055072; GO:0016987; GO:0003700	Escherichia coli (strain K12)	fecI b4293 JW4253
P28861	fpr	FENR_ECOLI	GO:0071949; GO:0005737; GO:0005829; GO:0004324; GO:0006001; GO:0016491; GO:0042493	Escherichia coli (strain K12)	fpr mvrA b3924 JW3895
P33650	feoB	FEOB_ECOLI	GO:0005525; GO:0006974; GO:1903874; GO:0015093; GO:0015684; GO:0042802; GO:0016021; GO:0055072; GO:0005886	Escherichia coli (strain K12)	feoB b3409 JW3372
P0AEL3	feoA	FEOA_ECOLI	GO:0006974; GO:0070627; GO:0055072; GO:0046914	Escherichia coli (strain K12)	feoA b3408 JW3371
B1X757	feoC	FEOC_ECODH	GO:0005506; GO:0051536	Escherichia coli (strain K12 / DH10B)	feoC ECDH10B_3585
P64638	feoC	FEOC_ECOLI	GO:0005506; GO:0051536	Escherichia coli (strain K12)	feoC yhgG b3410 JW3373
C4ZUR5	feoC	FEOC_ECOBW	GO:0005506; GO:0051536	Escherichia coli (strain K12 / MC4100 / BW2952)	feoC BWG_3101
P05825	fepA	FEPA_ECOLI	GO:0009279; GO:0042912; GO:0042914; GO:0015620; GO:0015685; GO:0045203; GO:0033214; GO:0005506; GO:0022834; GO:0004872; GO:0055085	Escherichia coli (strain K12)	fepA fep feuB b0584 JW5086
P23878	fepC	FEPC_ECOLI	GO:0005524; GO:0043190; GO:0016887; GO:0006811; GO:0055072; GO:0005886	Escherichia coli (strain K12)	fepC b0588 JW0580
P23876	fepD	FEPD_ECOLI	GO:0043190; GO:0015620; GO:0015685; GO:0055072; GO:0005886	Escherichia coli (strain K12)	fepD b0590 JW0582
P26266	fepE	FEPE_ECOLI	GO:0015620; GO:0015685; GO:0016021; GO:0055072; GO:0009103; GO:0005886	Escherichia coli (strain K12)	fepE b0587 JW0579
P0AEL6	fepB	FEPB_ECOLI	GO:0043190; GO:0006974; GO:0006811; GO:0055072; GO:0030288	Escherichia coli (strain K12)	fepB b0592 JW0584
P23877	fepG	FEPG_ECOLI	GO:0015620; GO:0015685; GO:0016021; GO:0055072; GO:0005886	Escherichia coli (strain K12)	fepG b0589 JW0581
P0A9R4	fdx	FER_ECOLI	GO:0051537; GO:0005829; GO:0009055; GO:0016226; GO:0046872; GO:0055114	Escherichia coli (strain K12)	fdx b2525 JW2509
P13039	fes	FES_ECOLI	GO:0005737; GO:0046214; GO:0008849; GO:0005506; GO:0055072; GO:0006826	Escherichia coli (strain K12)	fes b0585 JW0576
P77279	fetA	FETA_ECOLI	GO:0005524; GO:0016887; GO:0006879; GO:0006811; GO:0005886	Escherichia coli (strain K12)	fetA ybbL b0490 JW0479
P77307	fetB	FETB_ECOLI	GO:0006879; GO:0005887; GO:0034220; GO:0015075; GO:0005886	Escherichia coli (strain K12)	fetB ybbM b0491 JW5066
B1XFC2	yggX	FETP_ECODH	GO:0005506	Escherichia coli (strain K12 / DH10B)	yggX ECDH10B_3137
C5A0N1	yggX	FETP_ECOBW	GO:0005506	Escherichia coli (strain K12 / MC4100 / BW2952)	yggX BWG_2684
P0A8P3	yggX	FETP_ECOLI	GO:0034599; GO:0005829; GO:0005506	Escherichia coli (strain K12)	yggX b2962 JW2929
P19323	fhlA	FHLA_ECOLI	GO:0005524; GO:0005829; GO:0000156; GO:0000160; GO:0006355; GO:0043565; GO:0003700; GO:0044212; GO:0006351	Escherichia coli (strain K12)	fhlA b2731 JW2701
P06971	fhuA	FHUA_ECOLI	GO:0009279; GO:0048037; GO:0016021; GO:0006811; GO:0005506; GO:0055072; GO:0004872; GO:0015891; GO:0015643; GO:0046790	Escherichia coli (strain K12)	fhuA tonA b0150 JW0146
P06972	fhuB	FHUB_ECOLI	GO:0016021; GO:0006811; GO:0055072; GO:0005886; GO:0005215	Escherichia coli (strain K12)	fhuB b0153 JW0149
P07821	fhuC	FHUC_ECOLI	GO:0005524; GO:0006811; GO:0055072; GO:0015623; GO:0005886	Escherichia coli (strain K12)	fhuC b0151 JW0147
P07822	fhuD	FHUD_ECOLI	GO:0006811; GO:0055072; GO:0042597	Escherichia coli (strain K12)	fhuD b0152 JW0148
P16869	fhuE	FHUE_ECOLI	GO:0009279; GO:0016021; GO:0006811; GO:0005506; GO:0055072; GO:0004872; GO:0015891	Escherichia coli (strain K12)	fhuE b1102 JW1088
P39405	fhuF	FHUF_ECOLI	GO:0051537; GO:0005829; GO:0033212; GO:0046872; GO:0005886	Escherichia coli (strain K12)	fhuF yjjS b4367 JW4331
P20605	fic	FIC_ECOLI	GO:0005524; GO:0016779; GO:0051302	Escherichia coli (strain K12)	fic b3361 JW3324
C5A082	fieF	FIEF_ECOBW	GO:0015684; GO:0016021; GO:0055072; GO:0046873; GO:0005886; GO:0006829	Escherichia coli (strain K12 / MC4100 / BW2952)	fieF BWG_3584
B1XB81	fieF	FIEF_ECODH	GO:0015684; GO:0016021; GO:0055072; GO:0046873; GO:0005886; GO:0006829	Escherichia coli (strain K12 / DH10B)	fieF ECDH10B_4104
P69380	fieF	FIEF_ECOLI	GO:0070574; GO:0015086; GO:0015691; GO:0098655; GO:0006876; GO:0006882; GO:1903874; GO:0015093; GO:0015684; GO:0016021; GO:0055072; GO:0005886; GO:0061088; GO:0010043; GO:0071577; GO:0006829; GO:0015341	Escherichia coli (strain K12)	fieF yiiP b3915 JW3886
P04128	fimA	FIMA1_ECOLI	GO:0007155; GO:0009289	Escherichia coli (strain K12)	fimA pilA b4314 JW4277
P0ADH5	fimB	FIMB_ECOLI	GO:0003677; GO:0015074; GO:0006310; GO:0006974; GO:0006355; GO:0006351	Escherichia coli (strain K12)	fimB b4312 JW4275
P31697	fimC	FIMC_ECOLI	GO:0071555; GO:0061077; GO:0030288; GO:0043711; GO:0044183	Escherichia coli (strain K12)	fimC b4316 JW4279
P30130	fimD	FIMD_ECOLI	GO:0009279; GO:0015473; GO:0016021; GO:0009297; GO:0055085	Escherichia coli (strain K12)	fimD b4317 JW5780
P08189	fimF	FIMF_ECOLI	GO:0007155; GO:0009289	Escherichia coli (strain K12)	fimF b4318 JW4281
P0ADH7	fimE	FIME_ECOLI	GO:0003677; GO:0015074; GO:0006310; GO:0006355; GO:0006351	Escherichia coli (strain K12)	fimE b4313 JW4276
P08190	fimG	FIMG_ECOLI	GO:0007155; GO:0009289	Escherichia coli (strain K12)	fimG b4319 JW4282
P08191	fimH	FIMH_ECOLI	GO:0007155; GO:0005537; GO:0009289	Escherichia coli (strain K12)	fimH b4320 JW4283
P39264	fimI	FIMI_ECOLI	GO:0007155; GO:0009289; GO:0009297	Escherichia coli (strain K12)	fimI b4315 JW5779
P0AEL8	fimZ	FIMZ_ECOLI	GO:0003677; GO:0005737; GO:0000160; GO:0006355; GO:0042493; GO:0006351	Escherichia coli (strain K12)	fimZ ybcA b0535 JW5073
P22707	finO	FINO_ECOLI	GO:0003723; GO:0000746; GO:0006355; GO:0006351	Escherichia coli (strain K12)	finO
C4ZSZ7	fis	FIS_ECOBW	GO:0043565; GO:0003700; GO:0006351	Escherichia coli (strain K12 / MC4100 / BW2952)	fis BWG_2960
B1XHN0	fis	FIS_ECODH	GO:0043565; GO:0003700; GO:0006351	Escherichia coli (strain K12 / DH10B)	fis ECDH10B_3436
P0A6R3	fis	FIS_ECOLI	GO:0003677; GO:0000787; GO:0005829; GO:0000156; GO:0000160; GO:0006355; GO:0043565; GO:0003700; GO:0044212; GO:0006351	Escherichia coli (strain K12)	fis b3261 JW3229
P75780	fiu	FIU_ECOLI	GO:0009279; GO:0016021; GO:0006811; GO:0005506; GO:0055072; GO:0042884; GO:0004872; GO:0015891	Escherichia coli (strain K12)	fiu ybiL b0805 JW0790
C4ZPW7	fixA	FIXA_ECOBW	GO:0009437; GO:0009055; GO:0055114	Escherichia coli (strain K12 / MC4100 / BW2952)	fixA BWG_0039
B1XBG6	fixA	FIXA_ECODH	GO:0009437; GO:0009055; GO:0055114	Escherichia coli (strain K12 / DH10B)	fixA ECDH10B_0042
P60566	fixA	FIXA_ECOLI	GO:0009437; GO:0009055; GO:0055114	Escherichia coli (strain K12)	fixA yaaQ b0041 JW0040
C4ZPW8	fixB	FIXB_ECOBW	GO:0009437; GO:0009055; GO:0050660; GO:0055114	Escherichia coli (strain K12 / MC4100 / BW2952)	fixB BWG_0040
B1XBG7	fixB	FIXB_ECODH	GO:0009437; GO:0009055; GO:0050660; GO:0055114	Escherichia coli (strain K12 / DH10B)	fixB ECDH10B_0043
P31574	fixB	FIXB_ECOLI	GO:0003995; GO:0009437; GO:0009055; GO:0033539; GO:0000062; GO:0050660; GO:0055088; GO:0005739; GO:0052890	Escherichia coli (strain K12)	fixB yaaR b0042 JW0041
P68644	fixC	FIXC_ECOLI	GO:0071949; GO:0009437; GO:0004174; GO:0050660; GO:0051536	Escherichia coli (strain K12)	fixC yaaS b0043 JW0042
P68646	fixX	FIXX_ECOLI	GO:0051539; GO:0005506; GO:0055114	Escherichia coli (strain K12)	fixX yaaT b0044 JW0043
P45523	fkpA	FKBA_ECOLI	GO:0005528; GO:0061077; GO:0005737; GO:0030288; GO:0003755; GO:0000413; GO:0042026	Escherichia coli (strain K12)	fkpA yzzS b3347 JW3309
P0A9L3	fklB	FKBB_ECOLI	GO:0005528; GO:0061077; GO:0005737; GO:0005829; GO:0042802; GO:0003755; GO:0042597; GO:0000413	Escherichia coli (strain K12)	fklB ytfC b4207 JW5746
P0AEM0	fkpB	FKBX_ECOLI	GO:0005528; GO:0061077; GO:0005737; GO:0005829; GO:0003755; GO:0000413	Escherichia coli (strain K12)	fkpB slpA yaaD b0028 JW0026
P61949	fldA	FLAV_ECOLI	GO:0010181; GO:0005737; GO:0005829; GO:0009055; GO:0055114	Escherichia coli (strain K12)	fldA b0684 JW0671
P0ABY4	fldB	FLAW_ECOLI	GO:0010181; GO:0009055; GO:0055114	Escherichia coli (strain K12)	fldB b2895 JW2863
P75933	flgA	FLGA_ECOLI	GO:0044781; GO:0071973; GO:0042597	Escherichia coli (strain K12)	flgA b1072 JW1059
P0ABW9	flgB	FLGB_ECOLI	GO:0009425; GO:0009424; GO:0071978	Escherichia coli (strain K12)	flgB fla FII flbA b1073 JW1060
P0ABX2	flgC	FLGC_ECOLI	GO:0030694; GO:0009424; GO:0071978	Escherichia coli (strain K12)	flgC fla FIII flaW b1074 JW1061
P75936	flgD	FLGD_ECOLI	GO:0009424; GO:0044781; GO:0071978; GO:0005829	Escherichia coli (strain K12)	flgD fla FIV flaV b1075 JW1062
P75937	flgE	FLGE_ECOLI	GO:0030694; GO:0009424; GO:0071978; GO:0005829	Escherichia coli (strain K12)	flgE fla FV flaK b1076 JW1063
P75938	flgF	FLGF_ECOLI	GO:0009425; GO:0009424; GO:0071973; GO:0071978	Escherichia coli (strain K12)	flgF fla FVI flaX b1077 JW1064
P0ABX5	flgG	FLGG_ECOLI	GO:0009426; GO:0009424; GO:0044781; GO:0071973; GO:0071978; GO:0009279	Escherichia coli (strain K12)	flgG fla FVII flaL b1078 JW1065
B1X9J2	flgH	FLGH_ECODH	GO:0009427; GO:0071973; GO:0009279; GO:0003774	Escherichia coli (strain K12 / DH10B)	flgH ECDH10B_1150
C4ZS19	flgH	FLGH_ECOBW	GO:0009427; GO:0071973; GO:0009279; GO:0003774	Escherichia coli (strain K12 / MC4100 / BW2952)	flgH BWG_0927
P0A6S0	flgH	FLGH_ECOLI	GO:0009427; GO:0071973; GO:0009279; GO:0003774; GO:0006970	Escherichia coli (strain K12)	flgH fla FVIII flaY b1079 JW5153
C4ZS20	flgI	FLGI_ECOBW	GO:0009428; GO:0071973; GO:0030288; GO:0005198	Escherichia coli (strain K12 / MC4100 / BW2952)	flgI BWG_0928
B1X9J3	flgI	FLGI_ECODH	GO:0009428; GO:0071973; GO:0030288; GO:0005198	Escherichia coli (strain K12 / DH10B)	flgI ECDH10B_1151
P0A6S3	flgI	FLGI_ECOLI	GO:0009428; GO:0071973; GO:0006974; GO:0030288; GO:0005198	Escherichia coli (strain K12)	flgI fla FIX flaM b1080 JW1067
P75942	flgJ	FLGJ_ECOLI	GO:0004040; GO:0009288; GO:0044780; GO:0071973; GO:0071555; GO:0016798; GO:0042597	Escherichia coli (strain K12)	flgJ fla FX flaZ b1081 JW1068
P33235	flgK	FLGK_ECOLI	GO:0044780; GO:0009424; GO:0071973; GO:0005576; GO:0005198	Escherichia coli (strain K12)	flgK flaS flaW b1082 JW1069
P29744	flgL	FLGL_ECOLI	GO:0009424; GO:0071973; GO:0005576; GO:0005198	Escherichia coli (strain K12)	flgL flaT flaU b1083 JW1070
P0AEM4	flgM	FLGM_ECOLI	GO:0044781; GO:0045861; GO:0045892; GO:0016989; GO:0006351	Escherichia coli (strain K12)	flgM b1071 JW1058
P43533	flgN	FLGN_ECOLI	GO:0044780; GO:0005737	Escherichia coli (strain K12)	flgN b1070 JW1057
P76298	flhA	FLHA_ECOLI	GO:0044780; GO:0016021; GO:0005886; GO:0009306	Escherichia coli (strain K12)	flhA b1879 JW1868
P76299	flhB	FLHB_ECOLI	GO:0044780; GO:0016021; GO:0005886; GO:0009306	Escherichia coli (strain K12)	flhB yecQ b1880 JW1869
P0ABY7	flhC	FLHC_ECOLI	GO:0003677; GO:0044781; GO:0005737; GO:0045892; GO:0045893; GO:1902208; GO:0006351; GO:0008270	Escherichia coli (strain K12)	flhC flaI b1891 JW1880
B1XHF8	flhD	FLHD_ECODH	GO:0003677; GO:0044780; GO:0005737; GO:0045893; GO:1902208; GO:0006351	Escherichia coli (strain K12 / DH10B)	flhD ECDH10B_2033
P0A8S9	flhD	FLHD_ECOLI	GO:0003677; GO:0044780; GO:0005737; GO:0045892; GO:0045893; GO:1902208; GO:0006351	Escherichia coli (strain K12)	flhD flbB b1892 JW1881
P76297	flhE	FLHE_ECOLI	GO:0009288; GO:0044781	Escherichia coli (strain K12)	flhE b1878 JW1867
P0AEM6	fliA	FLIA_ECOLI	GO:0003677; GO:0003899; GO:0005829; GO:0016987; GO:0030435; GO:0003700; GO:0001123	Escherichia coli (strain K12)	fliA flaD rpoF b1922 JW1907
P04949	fliC	FLIC_ECOLI	GO:0009420; GO:0071973; GO:0005576; GO:0005198	Escherichia coli (strain K12)	fliC flaF hag b1923 JW1908
P24216	fliD	FLID_ECOLI	GO:0009421; GO:0009424; GO:0071973; GO:0007155; GO:0005576	Escherichia coli (strain K12)	fliD flaV flbC b1924 JW1909
P0A8T5	fliE	FLIE_ECOLI	GO:0009425; GO:0071973; GO:0003774; GO:0005198	Escherichia coli (strain K12)	fliE fla AI flaN b1937 JW1921
C4ZQL1	fliE	FLIE_ECOBW	GO:0009425; GO:0071973; GO:0003774; GO:0005198	Escherichia coli (strain K12 / MC4100 / BW2952)	fliE BWG_1742
B1X691	fliE	FLIE_ECODH	GO:0009425; GO:0071973; GO:0003774; GO:0005198	Escherichia coli (strain K12 / DH10B)	fliE ECDH10B_2079
P25798	fliF	FLIF_ECOLI	GO:0009431; GO:0071973; GO:0016021; GO:0003774; GO:0005886	Escherichia coli (strain K12)	fliF fla AII.1 fla BI b1938 JW1922
P0ABZ1	fliG	FLIG_ECOLI	GO:0044780; GO:0009425; GO:0071973; GO:0006935; GO:0042802; GO:0003774; GO:0005886	Escherichia coli (strain K12)	fliG fla AII.2 fla BII b1939 JW1923
P31068	fliH	FLIH_ECOLI	GO:0009288; GO:0044781; GO:0071973; GO:0005829; GO:0003774; GO:0015031	Escherichia coli (strain K12)	fliH fla AII.3 fla BIII b1940 JW1924
P52612	fliI	FLII_ECOLI	GO:0005524; GO:0006754; GO:0016887; GO:0044780; GO:0071973; GO:0005737; GO:0042802; GO:0030254; GO:0015992; GO:0030257	Escherichia coli (strain K12)	fliI fla AIII flaC b1941 JW1925
P52613	fliJ	FLIJ_ECOLI	GO:0009288; GO:0044781; GO:0071973; GO:0006935; GO:0003774; GO:0005886; GO:0015031	Escherichia coli (strain K12)	fliJ flaO flaS b1942 JW1926
P52614	fliK	FLIK_ECOLI	GO:0044780; GO:0009424; GO:0071973	Escherichia coli (strain K12)	fliK flaE flaR b1943 JW1927
P0ABX8	fliL	FLIL_ECOLI	GO:0009425; GO:0071978; GO:0006935; GO:0016021; GO:0005886	Escherichia coli (strain K12)	fliL cheC1 fla AI fla QI b1944 JW1928
P06974	fliM	FLIM_ECOLI	GO:0009425; GO:0071973; GO:0003774; GO:0005886; GO:0050918	Escherichia coli (strain K12)	fliM cheC2 fla AII fla QII b1945 JW1929
P15070	fliN	FLIN_ECOLI	GO:0009425; GO:0071973; GO:0006935; GO:0003774; GO:0005886	Escherichia coli (strain K12)	fliN flaN motD b1946 JW1930
P22586	fliO	FLIO_ECOLI	GO:0097588; GO:0009425; GO:0044781; GO:0006935; GO:0016021; GO:0005886	Escherichia coli (strain K12)	fliO flaP flbD b1947 JW5316
P0AC05	fliP	FLIP_ECOLI	GO:0009425; GO:0044781; GO:0016021; GO:0005886; GO:0009306	Escherichia coli (strain K12)	fliP flaR b1948 JW1932
P0AC07	fliQ	FLIQ_ECOLI	GO:0044780; GO:0009425; GO:0016021; GO:0005886; GO:0009306	Escherichia coli (strain K12)	fliQ flaQ b1949 JW1933
C4ZQK4	fliT	FLIT_ECOBW	GO:0044781; GO:0005829; GO:1902209; GO:0006457; GO:0006355; GO:0006351	Escherichia coli (strain K12 / MC4100 / BW2952)	fliT BWG_1735
P33135	fliR	FLIR_ECOLI	GO:0044780; GO:0009425; GO:0016021; GO:0005886; GO:0006605	Escherichia coli (strain K12)	fliR flaP b1950 JW1934
P26608	fliS	FLIS_ECOLI	GO:0009288; GO:0044781; GO:0071973; GO:0005829	Escherichia coli (strain K12)	fliS b1925 JW1910
P0ABY2	fliT	FLIT_ECOLI	GO:0044781; GO:0071973; GO:0005829; GO:1902209; GO:0006457; GO:0006355; GO:0006351	Escherichia coli (strain K12)	fliT b1926 JW1911
B1X683	fliT	FLIT_ECODH	GO:0044781; GO:0005829; GO:1902209; GO:0006457; GO:0006355; GO:0006351	Escherichia coli (strain K12 / DH10B)	fliT ECDH10B_2067
P0AEM9	fliY	FLIY_ECOLI	GO:0015184; GO:0015811; GO:1903712; GO:0033229; GO:0042883; GO:0030288	Escherichia coli (strain K12)	fliY yzzR b1920 JW1905
P52627	fliZ	FLIZ_ECOLI	GO:0015074; GO:0001047; GO:1902021; GO:1903506; GO:0016989	Escherichia coli (strain K12)	fliZ yedH b1921 JW1906
P15286	flk	FLK_ECOLI	GO:0016021; GO:0005886; GO:0010468	Escherichia coli (strain K12)	flk div b2321 JW2318
P11519	flmC	FLMC1_ECOLI		Escherichia coli (strain K12)	flmC ECOK12F065
P62670	flmA	FLMA_ECOLI	GO:0016021	Escherichia coli (strain K12)	flmA parB stm ECOK12F066
P77609	flxA	FLXA_ECOLI		Escherichia coli (strain K12)	flxA b1566 JW1558
C4ZUE2	fmt	FMT_ECOBW	GO:0004479; GO:0008168	Escherichia coli (strain K12 / MC4100 / BW2952)	fmt BWG_2978
B1X6E0	fmt	FMT_ECODH	GO:0004479; GO:0008168	Escherichia coli (strain K12 / DH10B)	fmt ECDH10B_3462
P23882	fmt	FMT_ECOLI	GO:0019988; GO:0071951; GO:0005829; GO:0004479; GO:0008168; GO:0006413	Escherichia coli (strain K12)	fmt yhdD b3288 JW3249
P0A9E5	fnr	FNR_ECOLI	GO:0051539; GO:0003677; GO:0009061; GO:0005829; GO:0051536; GO:0046872; GO:0006355; GO:0071731; GO:0003700; GO:0006351	Escherichia coli (strain K12)	fnr nirR b1334 JW1328
P0AC23	focA	FOCA_ECOLI	GO:0015499; GO:0015724; GO:0005887; GO:0005886	Escherichia coli (strain K12)	focA ycaE b0904 JW0887
P77733	focB	FOCB_ECOLI	GO:0015499; GO:0015724; GO:0005887; GO:0005886	Escherichia coli (strain K12)	focB b2492 JW2477
P0AC16	folB	FOLB_ECOLI	GO:0004150; GO:0046656; GO:0042802; GO:0016853; GO:0046654	Escherichia coli (strain K12)	folB ygiG b3058 JW3030
P08192	folC	FOLC_ECOLI	GO:0005524; GO:0005737; GO:0006761; GO:0008841; GO:0046656; GO:0006730; GO:0046654; GO:0046901; GO:0004326	Escherichia coli (strain K12)	folC dedC b2315 JW2312
B1XGC7	folD	FOLD_ECODH	GO:0009396; GO:0000105; GO:0004477; GO:0009086; GO:0004488; GO:0006164; GO:0035999	Escherichia coli (strain K12 / DH10B)	folD ECDH10B_0485
P24186	folD	FOLD_ECOLI	GO:0005829; GO:0009396; GO:0000105; GO:0004477; GO:0009086; GO:0004488; GO:0006730; GO:0006164; GO:0035999	Escherichia coli (strain K12)	folD ads b0529 JW0518
C4ZUX7	folD	FOLD_ECOBW	GO:0009396; GO:0000105; GO:0004477; GO:0009086; GO:0004488; GO:0006164; GO:0035999	Escherichia coli (strain K12 / MC4100 / BW2952)	folD BWG_0404
P0AFS3	folM	FOLM_ECOLI	GO:0004146; GO:0071172; GO:0006730	Escherichia coli (strain K12)	folM ydgB b1606 JW1598
P0AC19	folX	FOLX_ECOLI	GO:0005829; GO:0004150; GO:0008719; GO:0006760	Escherichia coli (strain K12)	folX b2303 JW2300
C4ZXM7	mutM	FPG_ECOBW	GO:0006284; GO:0003684; GO:0006289; GO:0008534; GO:0008270	Escherichia coli (strain K12 / MC4100 / BW2952)	mutM fpg BWG_3326
B1X969	mutM	FPG_ECODH	GO:0006284; GO:0003684; GO:0006289; GO:0008534; GO:0008270	Escherichia coli (strain K12 / DH10B)	mutM fpg ECDH10B_3817
P05523	mutM	FPG_ECOLI	GO:0019104; GO:0003906; GO:0006285; GO:0006974; GO:0003684; GO:0004519; GO:0046872; GO:0090305; GO:0006289; GO:0008534; GO:0000703; GO:0008270	Escherichia coli (strain K12)	mutM fpg b3635 JW3610
P00363	frdA	FRDA_ECOLI	GO:0071949; GO:0009061; GO:0044780; GO:0071973; GO:0006974; GO:0005829; GO:0009055; GO:0022900; GO:0006113; GO:0016020; GO:0045284; GO:0000104	Escherichia coli (strain K12)	frdA b4154 JW4115
P0AC47	frdB	FRDB_ECOLI	GO:0051537; GO:0051538; GO:0051539; GO:0009061; GO:0044780; GO:0071973; GO:0005829; GO:0009055; GO:0006113; GO:0051536; GO:0016020; GO:0046872; GO:0045284; GO:0008177; GO:0000104; GO:0006099	Escherichia coli (strain K12)	frdB b4153 JW4114
B1XDQ7	frdC	FRDC_ECODH	GO:0016021; GO:0005886	Escherichia coli (strain K12 / DH10B)	frdC ECDH10B_4347
C5A1E6	frdC	FRDC_ECOBW	GO:0016021; GO:0005886	Escherichia coli (strain K12 / MC4100 / BW2952)	frdC BWG_3867
P0A8Q0	frdC	FRDC_ECOLI	GO:0009061; GO:0044780; GO:0071973; GO:0006113; GO:0016021; GO:0005886; GO:0045284; GO:0008177; GO:0000104	Escherichia coli (strain K12)	frdC b4152 JW4113
C5A1E5	frdD	FRDD_ECOBW	GO:0006106; GO:0016021; GO:0005886	Escherichia coli (strain K12 / MC4100 / BW2952)	frdD BWG_3866
P0A8Q3	frdD	FRDD_ECOLI	GO:0009061; GO:0006113; GO:0006106; GO:0005887; GO:0005886; GO:0045284; GO:0008177; GO:0000104	Escherichia coli (strain K12)	frdD b4151 JW4112
B1XDQ6	frdD	FRDD_ECODH	GO:0006106; GO:0016021; GO:0005886	Escherichia coli (strain K12 / DH10B)	frdD ECDH10B_4346
P0AEN1	fre	FRE_ECOLI	GO:0047138; GO:0005829; GO:0008047; GO:0006811; GO:0055072; GO:0043085; GO:0030091; GO:0006979; GO:0052875; GO:0042602	Escherichia coli (strain K12)	fre fadI flrD fsrC ubiB b3844 JW3820
P45539	frlA	FRLA_ECOLI	GO:1902475; GO:0015179; GO:0015807; GO:0003333; GO:0015297; GO:0030393; GO:0005887; GO:0005886	Escherichia coli (strain K12)	frlA yhfM b3370 JW3333
P45541	frlC	FRLC_ECOLI	GO:0046348; GO:0042802; GO:0016857	Escherichia coli (strain K12)	frlC yhfO yhfP b4474 JW5699
P0AC00	frlB	FRLB_ECOLI	GO:0030246; GO:0005975; GO:0016787	Escherichia coli (strain K12)	frlB yhfN b3371 JW5700
P45544	frlR	FRLR_ECOLI	GO:0003677; GO:0003700; GO:0006351	Escherichia coli (strain K12)	frlR yhfR b3375 JW5698
P45543	frlD	FRLD_ECOLI	GO:0005524; GO:0016301; GO:0016773	Escherichia coli (strain K12)	frlD yhfQ b3374 JW3337
P25437	frmA	FRMA_ECOLI	GO:0051903; GO:0004024; GO:0005737; GO:0005829; GO:0006069; GO:0046294; GO:0042802; GO:0008270	Escherichia coli (strain K12)	frmA adhC b0356 JW0347
P0AAP3	frmR	FRMR_ECOLI	GO:0003677; GO:0005737; GO:0046872; GO:0045892; GO:0006351	Escherichia coli (strain K12)	frmR yaiN b0357 JW0348
B1XDY2	frsA	FRSA_ECODH	GO:0052689	Escherichia coli (strain K12 / DH10B)	frsA ECDH10B_0221
C4ZT96	frsA	FRSA_ECOBW	GO:0052689	Escherichia coli (strain K12 / MC4100 / BW2952)	frsA BWG_0221
P04335	frsA	FRSA_ECOLI	GO:0052689; GO:0016787; GO:0043470	Escherichia coli (strain K12)	frsA yafA b0239 JW0229
P32152	frvR	FRVR_ECOLI	GO:0003677; GO:0016301; GO:0006355; GO:0006351; GO:0005215	Escherichia coli (strain K12)	frvR yiiH b3897 JW3868
P32153	frvX	FRVX_ECOLI	GO:0004177; GO:0046872; GO:0008237	Escherichia coli (strain K12)	frvX yiiI b3898 JW3869
P78055	fsaA	FSAA_ECOLI	GO:0005737; GO:0097023; GO:0006000	Escherichia coli (strain K12)	fsaA fsa mipB ybiZ b0825 JW5109
P32669	fsaB	FSAB_ECOLI	GO:0005737; GO:0097023; GO:0006000	Escherichia coli (strain K12)	fsaB talC yijG b3946 JW3918
P52067	fsr	FSR_ECOLI	GO:0006974; GO:0016021; GO:0005886; GO:0046677; GO:0055085	Escherichia coli (strain K12)	fsr b0479 JW0468
P0A998	ftnA	FTNA_ECOLI	GO:0006974; GO:0005829; GO:0008199; GO:0004322; GO:0042802; GO:0006880; GO:0006826; GO:0006979	Escherichia coli (strain K12)	ftnA ftn gen-165 rsgA b1905 JW1893
P0A9A2	ftnB	FTNB_ECOLI	GO:0006879; GO:0005829; GO:0008199; GO:0006826	Escherichia coli (strain K12)	ftnB yecI b1902 JW1890
P0ABH0	ftsA	FTSA_ECOLI	GO:0005524; GO:0007049; GO:0051301; GO:0032153; GO:0009898; GO:0005829; GO:0042802; GO:0008360	Escherichia coli (strain K12)	ftsA divA b0094 JW0092
B1XCS4	ftsB	FTSB_ECODH	GO:0043093; GO:0032153; GO:0005887	Escherichia coli (strain K12 / DH10B)	ftsB ECDH10B_2916
C4ZZQ2	ftsB	FTSB_ECOBW	GO:0043093; GO:0032153; GO:0005887	Escherichia coli (strain K12 / MC4100 / BW2952)	ftsB BWG_2484
