Entry	Gene names  (primary )	Entry name	Gene ontology IDs	Organism	Gene names
P77559	ynfL	YNFL_ECOLI	GO:0003677; GO:0006355; GO:0003700; GO:0006351	Escherichia coli (strain K12)	ynfL b1595 JW1587
P43531	ynfM	YNFM_ECOLI	GO:0016021; GO:0005886; GO:0055085; GO:0005215	Escherichia coli (strain K12)	ynfM yzyC b1596 JW1588
P76173	ynfH	YNFH_ECOLI	GO:0019645; GO:0016021; GO:0016491; GO:0005886	Escherichia coli (strain K12)	ynfH b1590 JW5261
P76157	ynfN	YNFN_ECOLI		Escherichia coli (strain K12)	ynfN b1551 JW5254
Q2EES0	ynfO	YNFO_ECOLI		Escherichia coli (strain K12)	ynfO b4533 JW5251
A5A618	ynhF	YNHF_ECOLI	GO:0071456; GO:0016021; GO:0016020; GO:0005886	Escherichia coli (strain K12)	ynhF b4602 JW1649.1
P76193	ynhG	YNHG_ECOLI	GO:0043164; GO:0044036; GO:0071555; GO:0016807; GO:0071972; GO:0009252; GO:0042597; GO:0006508; GO:0008360; GO:0016755; GO:0016757	Escherichia coli (strain K12)	ynhG b1678 JW1668
P77739	yniA	YNIA_ECOLI	GO:0016301; GO:0016310	Escherichia coli (strain K12)	yniA b1725 JW1714
P77247	yniC	YNIC_ECOLI	GO:0003850; GO:0005829; GO:0016311; GO:0004346; GO:0000287; GO:0046872; GO:0016791; GO:0050308	Escherichia coli (strain K12)	yniC b1727 JW1716
P76208	yniB	YNIB_ECOLI	GO:0016021; GO:0005886	Escherichia coli (strain K12)	yniB b1726 JW1715
Q2EES1	yniD	YNID_ECOLI	GO:0016021	Escherichia coli (strain K12)	yniD b4535 JW5911
P76222	ynjA	YNJA_ECOLI	GO:0051920	Escherichia coli (strain K12)	ynjA b1753 JW1742
P76909	ynjD	YNJD_ECOLI	GO:0005524; GO:0016887; GO:0006810	Escherichia coli (strain K12)	ynjD b1756 JW5286
P76224	ynjC	YNJC_ECOLI	GO:0016021; GO:0005886; GO:0006810	Escherichia coli (strain K12)	ynjC b1755 JW5285
P76223	ynjB	YNJB_ECOLI		Escherichia coli (strain K12)	ynjB b1754 JW5284
P78067	ynjE	YNJE_ECOLI	GO:0042597; GO:0016783; GO:0004792	Escherichia coli (strain K12)	ynjE b1757 JW5287
P76226	ynjF	YNJF_ECOLI	GO:0016021; GO:0008654; GO:0016780; GO:0005886	Escherichia coli (strain K12)	ynjF b1758 JW1747
P76227	ynjH	YNJH_ECOLI		Escherichia coli (strain K12)	ynjH b1760 JW1749
P76228	ynjI	YNJI_ECOLI	GO:0016021; GO:0005886	Escherichia coli (strain K12)	ynjI b1762 JW5288
P0AEB7	yoaB	YOAB_ECOLI	GO:0005829; GO:0044010	Escherichia coli (strain K12)	yoaB b1809 JW5295
P76257	yoaA	YOAA_ECOLI	GO:0005524; GO:0008026; GO:0003677; GO:0006139	Escherichia coli (strain K12)	yoaA b1808 JW1797
P64490	yoaC	YOAC_ECOLI		Escherichia coli (strain K12)	yoaC b1810 JW5296
P64493	yoaF	YOAF_ECOLI		Escherichia coli (strain K12)	yoaF b1793 JW1782
P0AEC0	yoaE	YOAE_ECOLI	GO:0050660; GO:0016021; GO:0016614; GO:0005886	Escherichia coli (strain K12)	yoaE b1816 JW1805
P67338	yoaH	YOAH_ECOLI		Escherichia coli (strain K12)	yoaH b1811 JW1800
C4ZZG7	yoaH	YOAH_ECOBW		Escherichia coli (strain K12 / MC4100 / BW2952)	yoaH BWG_1624
B1XH79	yoaH	YOAH_ECODH		Escherichia coli (strain K12 / DH10B)	yoaH ECDH10B_1949
P64496	yoaG	YOAG_ECOLI		Escherichia coli (strain K12)	yoaG b1796 JW1785
P76239	yoaI	YOAI_ECOLI	GO:0016021	Escherichia coli (strain K12)	yoaI b1788 JW5885
C1P602	yoaK	YOAK_ECOLI	GO:0016021; GO:0005886	Escherichia coli (strain K12)	yoaK b4676 JW5292.1
B1XH87	yobD	YOBD_ECODH	GO:0016021; GO:0005886	Escherichia coli (strain K12 / DH10B)	yobD ECDH10B_1958
C4ZZH6	yobD	YOBD_ECOBW	GO:0016021; GO:0005886	Escherichia coli (strain K12 / MC4100 / BW2952)	yobD BWG_1633
